DataelementID,Period,orgUnitID,categoryOptionComboID,AttributeOptionComboID,Value
Fs6OLZSb2mg,2021Q3,T0UEn5RGbEb,g0Y3klhGDYM,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,T0UEn5RGbEb,vG5FAcGH9US,JVafaPfopJf,0
Fs6OLZSb2mg,2021Q3,T0UEn5RGbEb,qaqq0s49le3,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,T0UEn5RGbEb,b1veZoOczoR,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,T0UEn5RGbEb,FR9ZDmeA4Az,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,T0UEn5RGbEb,jBJaVu6svtP,JVafaPfopJf,0
eQdclZl2AoR,2021Q3,T0UEn5RGbEb,xxGho4palSB,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,YVmIiOo8V17,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,HDhg4LTHBRa,JVafaPfopJf,5
kznQBykTtJt,2021Q3,T0UEn5RGbEb,rAvlLbG5dAb,JVafaPfopJf,4
kznQBykTtJt,2021Q3,T0UEn5RGbEb,dpFsZrc6Ffc,JVafaPfopJf,16
kznQBykTtJt,2021Q3,T0UEn5RGbEb,A30fQSASmum,JVafaPfopJf,5
kznQBykTtJt,2021Q3,T0UEn5RGbEb,d7veFTMK1Jw,JVafaPfopJf,17
kznQBykTtJt,2021Q3,T0UEn5RGbEb,I0zEWK2C11q,JVafaPfopJf,48
kznQBykTtJt,2021Q3,T0UEn5RGbEb,RKp8rxNgQAX,JVafaPfopJf,48
kznQBykTtJt,2021Q3,T0UEn5RGbEb,MRnYv4nt5gc,JVafaPfopJf,75
kznQBykTtJt,2021Q3,T0UEn5RGbEb,wOxLLZhNrPi,JVafaPfopJf,47
kznQBykTtJt,2021Q3,T0UEn5RGbEb,ONQ9uSvOkGB,JVafaPfopJf,17
kznQBykTtJt,2021Q3,T0UEn5RGbEb,U9R0CAPL0AS,JVafaPfopJf,24
kznQBykTtJt,2021Q3,T0UEn5RGbEb,vIZW4Jv7qqy,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,bQY52yJFcaj,JVafaPfopJf,14
kznQBykTtJt,2021Q3,T0UEn5RGbEb,sjBprG9Atqw,JVafaPfopJf,18
kznQBykTtJt,2021Q3,T0UEn5RGbEb,Cz8TfD9G4NS,JVafaPfopJf,7
kznQBykTtJt,2021Q3,T0UEn5RGbEb,hX01YQ8Xd0A,JVafaPfopJf,1
kznQBykTtJt,2021Q3,T0UEn5RGbEb,Slv7vEZKRXb,JVafaPfopJf,5
kznQBykTtJt,2021Q3,T0UEn5RGbEb,X3iUwZMRbpC,JVafaPfopJf,9
kznQBykTtJt,2021Q3,T0UEn5RGbEb,ABHnQuSJzZJ,JVafaPfopJf,34
kznQBykTtJt,2021Q3,T0UEn5RGbEb,PRsdy4olkFE,JVafaPfopJf,42
kznQBykTtJt,2021Q3,T0UEn5RGbEb,TcbPwuDGR7C,JVafaPfopJf,48
kznQBykTtJt,2021Q3,T0UEn5RGbEb,Ba3F9Cdo4TM,JVafaPfopJf,44
kznQBykTtJt,2021Q3,T0UEn5RGbEb,hrDvHLgNfrf,JVafaPfopJf,39
kznQBykTtJt,2021Q3,T0UEn5RGbEb,pjkXBdgweKp,JVafaPfopJf,0
